timestamp,close,high,low,trade_count,open,volume,vwap,symbol
2024-10-04 19:00:00+02:00,4.465,4.57,4.46,3818,4.5101,1136291,4.515221,WULF
2024-10-04 19:30:00+02:00,4.465,4.5,4.44,3683,4.4657,1354449,4.472628,WULF
2024-10-04 20:00:00+02:00,4.4872,4.5,4.46,2790,4.46,687507,4.47625,WULF
2024-10-04 20:30:00+02:00,4.4899,4.57,4.445,8500,4.485,3515888,4.510408,WULF
2024-10-04 21:00:00+02:00,4.445,4.49,4.42,3969,4.485,1802824,4.448567,WULF
2024-10-04 21:30:00+02:00,4.4055,4.46,4.4,8366,4.445,2740171,4.42238,WULF
2024-10-04 22:00:00+02:00,4.41,4.44,4.39,174,4.4003,635844,4.400905,WULF
2024-10-04 22:30:00+02:00,4.42,4.43,4.39,78,4.4,224595,4.399005,WULF
2024-10-04 23:00:00+02:00,4.415,4.43,4.41,36,4.41,14096,4.418716,WULF
2024-10-04 23:30:00+02:00,4.4,4.41,4.4,20,4.41,2991,4.402445,WULF
2024-10-05 00:00:00+02:00,4.42,4.43,4.4,70,4.41,10686,4.416813,WULF
2024-10-05 00:30:00+02:00,4.42,4.43,4.4095,23,4.4095,12813,4.416718,WULF
2024-10-05 01:00:00+02:00,4.4,4.4299,4.4,48,4.42,20352,4.414389,WULF
2024-10-05 01:30:00+02:00,4.4,4.41,4.4,25,4.405,13645,4.407692,WULF
2024-10-07 10:00:00+02:00,4.46,4.5,4.42,121,4.5,30338,4.461068,WULF
2024-10-07 10:30:00+02:00,4.45,4.48,4.43,67,4.46,14756,4.462097,WULF
2024-10-07 11:00:00+02:00,4.45,4.45,4.45,11,4.45,1498,4.45,WULF
2024-10-07 11:30:00+02:00,4.45,4.45,4.45,16,4.45,10762,4.45,WULF
2024-10-07 12:00:00+02:00,4.45,4.45,4.44,12,4.44,3363,4.446385,WULF
2024-10-07 12:30:00+02:00,4.44,4.44,4.435,27,4.44,18354,4.439887,WULF
2024-10-07 13:00:00+02:00,4.38,4.43,4.35,139,4.43,53578,4.396527,WULF
2024-10-07 13:30:00+02:00,4.43,4.43,4.38,35,4.39,11122,4.410231,WULF
2024-10-07 14:00:00+02:00,4.41,4.74,4.3528,195,4.43,97784,4.405301,WULF
2024-10-07 14:30:00+02:00,4.39,4.42,4.35,211,4.42,73154,4.378329,WULF
2024-10-07 15:00:00+02:00,4.4,4.4,4.35,167,4.38,82284,4.376057,WULF
2024-10-07 15:30:00+02:00,4.2,4.43,4.18,17816,4.35,5076172,4.239102,WULF
2024-10-07 16:00:00+02:00,4.255,4.26,4.12,9880,4.205,3620031,4.181494,WULF
2024-10-07 16:30:00+02:00,4.1991,4.26,4.17,6195,4.255,2441102,4.202871,WULF
2024-10-07 17:00:00+02:00,4.165,4.19,4.1,6718,4.19,2435076,4.146879,WULF
2024-10-07 17:30:00+02:00,4.0888,4.185,4.08,4546,4.165,1536912,4.122624,WULF
2024-10-07 18:00:00+02:00,4.075,4.095,4.05,4373,4.085,1505892,4.071622,WULF
2024-10-07 18:30:00+02:00,4.1056,4.12,4.07,4474,4.08,1088295,4.098536,WULF
2024-10-07 19:00:00+02:00,4.025,4.105,4.01,4366,4.105,2005987,4.047632,WULF
2024-10-07 19:30:00+02:00,4.015,4.035,4.0,5100,4.025,1875148,4.012131,WULF
2024-10-07 20:00:00+02:00,3.99,4.046,3.96,4472,4.0176,2052795,3.997277,WULF
2024-10-07 20:30:00+02:00,3.9299,4.0,3.9,4955,3.99,2044692,3.937895,WULF
2024-10-07 21:00:00+02:00,4.0,4.01,3.92,3824,3.925,1428570,3.976351,WULF
2024-10-07 21:30:00+02:00,4.02,4.05,4.0,7736,4.005,2920074,4.024611,WULF
2024-10-07 22:00:00+02:00,4.04,4.05,4.03,59,4.03,1212522,4.030237,WULF
2024-10-07 22:30:00+02:00,4.05,4.06,4.04,54,4.04,48778,4.045074,WULF
2024-10-07 23:00:00+02:00,4.05,4.06,4.03,65,4.0402,140949,4.040688,WULF
2024-10-07 23:30:00+02:00,4.06,4.06,4.05,42,4.05,13339,4.057942,WULF
2024-10-08 00:00:00+02:00,4.04,4.06,4.04,23,4.05,8663,4.04694,WULF
2024-10-08 00:30:00+02:00,4.0401,4.05,4.04,15,4.05,6272,4.046802,WULF
2024-10-08 01:00:00+02:00,4.0402,4.05,4.04,28,4.04,51683,4.040192,WULF
2024-10-08 01:30:00+02:00,4.04,4.05,4.04,38,4.04,34888,4.043351,WULF
2024-10-08 10:00:00+02:00,3.91,4.01,3.8,235,4.01,71115,3.855576,WULF
2024-10-08 10:30:00+02:00,3.94,3.95,3.92,42,3.92,10145,3.92775,WULF
2024-10-08 11:00:00+02:00,3.92,3.93,3.91,67,3.93,12339,3.919836,WULF
2024-10-08 11:30:00+02:00,3.96,3.96,3.91,61,3.91,16608,3.946607,WULF
2024-10-08 12:00:00+02:00,3.96,3.98,3.95,28,3.96,6021,3.960775,WULF
2024-10-08 12:30:00+02:00,3.98,3.99,3.98,10,3.98,3490,3.980676,WULF
2024-10-08 13:00:00+02:00,3.97,4.0,3.93,127,3.98,20010,3.967731,WULF
2024-10-08 13:30:00+02:00,4.03,4.03,3.98,23,3.98,4738,4.009836,WULF
2024-10-08 14:00:00+02:00,4.02,4.051,3.95,114,3.97,55969,3.995582,WULF
2024-10-08 14:30:00+02:00,4.01,4.0198,3.99,47,4.01,14816,4.005476,WULF
2024-10-08 15:00:00+02:00,4.0,4.01,3.99,77,4.01,35344,3.995667,WULF
2024-10-08 15:30:00+02:00,4.025,4.025,3.92,3795,4.0,1719035,3.97957,WULF
2024-10-08 16:00:00+02:00,4.02,4.15,3.99,4681,4.03,1659359,4.071617,WULF
2024-10-08 16:30:00+02:00,4.105,4.11,3.99,4596,4.02,1204833,4.046058,WULF
2024-10-08 17:00:00+02:00,4.0,4.125,4.0,3837,4.11,940495,4.062855,WULF
2024-10-08 17:30:00+02:00,4.0114,4.04,3.97,3006,4.005,725015,4.004016,WULF
2024-10-08 18:00:00+02:00,3.96,4.015,3.96,2200,4.015,438931,3.979289,WULF
2024-10-08 18:30:00+02:00,3.95,3.98,3.95,2192,3.96,663711,3.962626,WULF
2024-10-08 19:00:00+02:00,3.92,3.96,3.92,2053,3.95,509901,3.938526,WULF
2024-10-08 19:30:00+02:00,3.9153,3.93,3.9,3044,3.92,1052148,3.910509,WULF
2024-10-08 20:00:00+02:00,3.88,3.92,3.88,2194,3.9136,688390,3.902767,WULF
2024-10-08 20:30:00+02:00,3.9071,3.91,3.88,2475,3.88,783357,3.890194,WULF
2024-10-08 21:00:00+02:00,3.93,3.93,3.9,2382,3.9,719353,3.918547,WULF
2024-10-08 21:30:00+02:00,3.915,3.93,3.88,6003,3.9259,2129387,3.903538,WULF
2024-10-08 22:00:00+02:00,3.92,3.92,3.89,37,3.91,346814,3.910681,WULF
2024-10-08 22:30:00+02:00,3.9198,3.92,3.91,24,3.92,10256,3.919015,WULF
2024-10-08 23:00:00+02:00,3.93,3.93,3.9,60,3.9199,69054,3.913223,WULF
2024-10-08 23:30:00+02:00,3.91,3.91,3.91,7,3.91,250,3.91,WULF
2024-10-09 00:00:00+02:00,3.9295,3.94,3.91,15,3.93,6028,3.931199,WULF
2024-10-09 00:30:00+02:00,3.92,3.92,3.91,8,3.92,2618,3.919231,WULF
2024-10-09 01:00:00+02:00,3.93,3.93,3.91,20,3.93,6683,3.918748,WULF
2024-10-09 01:30:00+02:00,3.93,3.95,3.9299,25,3.9299,17954,3.938554,WULF
2024-10-09 10:00:00+02:00,3.9,3.93,3.86,37,3.86,10645,3.914619,WULF
2024-10-09 10:30:00+02:00,3.92,3.92,3.89,10,3.89,1061,3.916849,WULF
2024-10-09 11:00:00+02:00,3.95,3.95,3.91,11,3.91,1273,3.930356,WULF
